Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > Семеновская пряжа,"""Березка"" бордо",https://2676270.ru/upload/iblock/500/Бордо-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" бордо",Цвет,бордо,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" chernyj",https://2676270.ru/upload/iblock/d1e/DOM4Jeihjaw-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" chernyj",Цвет,черный,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" кармин",https://2676270.ru/upload/iblock/2dc/NK7Rs0ppDSw-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" кармин",Цвет,кармин,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" kovyl'",https://2676270.ru/upload/iblock/52b/yLPD8ngGVRk-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" kovyl'",Цвет,ковыль,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" pervansh",https://2676270.ru/upload/iblock/83e/Перванш  463П-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" pervansh",Цвет,перванш,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" sv.zelenyj",https://2676270.ru/upload/iblock/6bf/ULQn0sAu7mM-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" sv.zelenyj",Цвет,св.зеленый,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" l'njanoj",https://2676270.ru/upload/iblock/874/tdb44y1zqoA-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" l'njanoj",Цвет,льняной,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" zelenoe jabloko",https://2676270.ru/upload/iblock/ba4/Липа 471Г-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" zelenoe jabloko",Цвет,зеленое яблоко,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" limon",https://2676270.ru/upload/iblock/0b7/3UXIaU5_RaY-001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" limon",Цвет,лимон,"""Березка"""
ПРЯЖА > Семеновская пряжа,"""Березка"" кармин",https://2676270.ru/upload/iblock/a75/Кармин 471Г -001.jpg,"Состав: 100% Вискоза, Длина нити: 100гр. 430мт., Вес упаковки: 1000",1500,visible,variation,"""Березка"" кармин",Цвет,кармин,"""Березка"""
