Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > YARNART,PRESTIGE Вишня,https://2676270.ru/upload/iblock/e07/JEANS_66.jpg,"Состав: 100% чистая шерсть, Длина нити: 100 гр. - 300 м., Вес упаковки: 500 гр.",1350,visible,variation,PRESTIGE Вишня,Цвет,Вишня,PRESTIGE
ПРЯЖА > YARNART,PRESTIGE Chernyj,https://2676270.ru/upload/iblock/299/JEANS_53.jpg,"Состав: 100% чистая шерсть, Длина нити: 100 гр. - 300 м., Вес упаковки: 500 гр.",1350,visible,variation,PRESTIGE Chernyj,Цвет,Черный,PRESTIGE
ПРЯЖА > YARNART,PRESTIGE Goluboj,https://2676270.ru/upload/iblock/35b/JEANS_15.jpg,"Состав: 100% чистая шерсть, Длина нити: 100 гр. - 300 м., Вес упаковки: 500 гр.",1350,visible,variation,PRESTIGE Goluboj,Цвет,Голубой,PRESTIGE
ПРЯЖА > YARNART,PRESTIGE,https://2676270.ru/upload/resize_cache/iblock/51c/230_189_1/1011871983.jpg,"Состав: 100% чистая шерсть, Длина нити: 100 гр. - 300 м., Вес упаковки: 500 гр.",1350,visible,variable,PRESTIGE,Цвет,"Вишня, Черный, Голубой",
ПРЯЖА > YARNART,ALPINE Belyj,https://2676270.ru/upload/iblock/128/xy9nDYKNEC4-001.jpg,"Состав: 45%шерсть.55%акрил, Длина нити: 150гр.-103мт., Вес упаковки: 450гр.",892,visible,variation,ALPINE Belyj,Цвет,Белый,ALPINE
ПРЯЖА > YARNART,ALPINE Chernyj,https://2676270.ru/upload/iblock/bf2/ysc0xnRm1YM-001.jpg,"Состав: 45%шерсть.55%акрил, Длина нити: 150гр.-103мт., Вес упаковки: 450гр.",892,visible,variation,ALPINE Chernyj,Цвет,Черный,ALPINE
ПРЯЖА > YARNART,ALPINE,https://2676270.ru/upload/resize_cache/iblock/017/230_189_1/b802a1437da47d5c0f47423943s9--materialy-dlya-tvorchestva-pryazha-alpine-yarnart-tolstaya-ob-001.jpg,"Состав: 45%шерсть.55%акрил, Длина нити: 150гр.-103мт., Вес упаковки: 450гр.",892,visible,variable,ALPINE,Цвет,"Белый, Черный",
ПРЯЖА > YARNART,ALPINE ALPACA Chernyj,https://2676270.ru/upload/iblock/e6a/439_ALPINEALPACA.jpg,"Состав: 30% АЛЬПАКА, 10% ШЕРСТЪ, 60% АКРИЛ, Длина нити: 100гр. 120мт., Вес упаковки: 300",1005,visible,variation,ALPINE ALPACA Chernyj,Цвет,Черный,ALPINE ALPACA
ПРЯЖА > YARNART,ALPINE ALPACA Belyj,https://2676270.ru/upload/iblock/be3/alpinaalpaca_440.jpg,"Состав: 30% АЛЬПАКА, 10% ШЕРСТЪ, 60% АКРИЛ, Длина нити: 100гр. 120мт., Вес упаковки: 300",1005,visible,variation,ALPINE ALPACA Belyj,Цвет,Белый,ALPINE ALPACA
ПРЯЖА > YARNART,ALPINE ALPACA Василек,https://2676270.ru/upload/iblock/b5d/alpinaalpaca_442.jpg,"Состав: 30% АЛЬПАКА, 10% ШЕРСТЪ, 60% АКРИЛ, Длина нити: 100гр. 120мт., Вес упаковки: 300",1005,visible,variation,ALPINE ALPACA Василек,Цвет,Василек,ALPINE ALPACA
