Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > ALIZE,ALIZE REAL 100% SW Goluboj,https://2676270.ru/upload/iblock/f1d/063647473.jpg,"Состав: 100% шерсть, стираеться в машинке, Длина нити: 100 гр. - 130 м., Вес упаковки: 500 гр",1395,visible,variation,ALIZE REAL 100% SW Goluboj,Цвет,Голубой,ALIZE REAL 100% SW
ПРЯЖА > ALIZE,ALIZE REAL 100% SW Olivkovyj sektsionnyj,https://2676270.ru/upload/iblock/24c/20190307_084904-001.jpg,"Состав: 100% шерсть, стираеться в машинке, Длина нити: 100 гр. - 130 м., Вес упаковки: 500 гр",1395,visible,variation,ALIZE REAL 100% SW Olivkovyj sektsionnyj,Цвет,Оливковый секционный,ALIZE REAL 100% SW
ПРЯЖА > ALIZE,ALIZE REAL 100% SW Belyj,https://2676270.ru/upload/iblock/ac3/140611150062.jpg,"Состав: 100% шерсть, стираеться в машинке, Длина нити: 100 гр. - 130 м., Вес упаковки: 500 гр",1395,visible,variation,ALIZE REAL 100% SW Belyj,Цвет,Белый,ALIZE REAL 100% SW
ПРЯЖА > ALIZE,ALIZE REAL 100% SW Chernyj,https://2676270.ru/upload/iblock/448/137473676060.jpg,"Состав: 100% шерсть, стираеться в машинке, Длина нити: 100 гр. - 130 м., Вес упаковки: 500 гр",1395,visible,variation,ALIZE REAL 100% SW Chernyj,Цвет,Черный,ALIZE REAL 100% SW
ПРЯЖА > ALIZE,ALIZE REAL 100% SW,https://2676270.ru/upload/resize_cache/iblock/ea2/230_189_1/20190307_082424.jpg,"Состав: 100% шерсть, стираеться в машинке, Длина нити: 100 гр. - 130 м., Вес упаковки: 500 гр",1395,visible,variable,ALIZE REAL 100% SW,Цвет,"Голубой, Оливковый секционный, Белый, Черный",
ПРЯЖА > ALIZE,ALPACA ROYAL kremovyj,https://2676270.ru/upload/iblock/dd7/140541219701.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL kremovyj,Цвет,кремовый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Шафран,https://2676270.ru/upload/iblock/dda/154815821102.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Шафран,Цвет,Шафран,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL bezhevyj melanzh,https://2676270.ru/upload/iblock/437/1405412315152.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL bezhevyj melanzh,Цвет,бежевый меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Gnilaja vishnja,https://2676270.ru/upload/iblock/5c2/15029669894c4d3103b6b463339804db26c6a988e75a20e94354698a3015pimgpsh_thumbnail_win_distr.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Gnilaja vishnja,Цвет,Гнилая вишня,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Seryj melanzh,https://2676270.ru/upload/iblock/fbe/1405411596196.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Seryj melanzh,Цвет,Серый меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL korichnevyj,https://2676270.ru/upload/iblock/69c/1405412662201.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL korichnevyj,Цвет,коричневый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Джинс меланж,https://2676270.ru/upload/iblock/f40/1437574508203.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Джинс меланж,Цвет,Джинс меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Svetlo-seryj melanzh,https://2676270.ru/upload/iblock/3a3/140541116021.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Svetlo-seryj melanzh,Цвет,Светло-серый меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Svetlo bezhevyj,https://2676270.ru/upload/iblock/ca0/1405412588262.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Svetlo bezhevyj,Цвет,Светло бежевый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Zheltyj,https://2676270.ru/upload/iblock/fdb/1405417869281.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Zheltyj,Цвет,Желтый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL goluboj,https://2676270.ru/upload/iblock/c55/1405414336356.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL goluboj,Цвет,голубой,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Terrakot,https://2676270.ru/upload/iblock/393/156585564836.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Terrakot,Цвет,Терракот,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Джинс,https://2676270.ru/upload/iblock/112/1534427198381.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Джинс,Цвет,Джинс,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Сamel-меланж,https://2676270.ru/upload/iblock/c9c/1405417833466.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Сamel-меланж,Цвет,Сamel-меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL мята,https://2676270.ru/upload/iblock/093/1565855974522.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL мята,Цвет,мята,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Belyj,https://2676270.ru/upload/iblock/0f5/140541227155.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Belyj,Цвет,Белый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Krasnyj,https://2676270.ru/upload/iblock/4a8/140541356756.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Krasnyj,Цвет,Красный,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL zelenyj melanzh,https://2676270.ru/upload/iblock/47c/1405413851567.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL zelenyj melanzh,Цвет,зеленый меланж,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Bordovyj,https://2676270.ru/upload/iblock/f5d/140541379457.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Bordovyj,Цвет,Бордовый,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL temno-sinij,https://2676270.ru/upload/iblock/acf/140541411258.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL temno-sinij,Цвет,темно-синий,ALPACA ROYAL
ПРЯЖА > ALIZE,ALPACA ROYAL Korichnevyj melanzh,https://2676270.ru/upload/iblock/aa6/1405412895687.jpg,"Состав: 55 % акрил - 30 % альпака -15 % шерсть, Длина нити: 100гр. 250мт., Вес упаковки: 500",1132,visible,variation,ALPACA ROYAL Korichnevyj melanzh,Цвет,Коричневый меланж,ALPACA ROYAL
