Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > NAKO,ANGORA LUKS SIMLI Persik,https://2676270.ru/upload/iblock/fc8/1493883374_k.jpg,"Состав: 10% мохер, 10% шерсть, 75% акрил, 5% металик , Длина нити: 100 гр. - 550 м., Вес упаковки: 500 гр.",780,visible,variation,ANGORA LUKS SIMLI Persik,Цвет,Персик,ANGORA LUKS SIMLI
ПРЯЖА > NAKO,ANGORA LUKS SIMLI,https://2676270.ru/upload/resize_cache/iblock/5d8/230_189_1/nako-1-21-5921-1490170873.jpg,"Состав: 10% мохер, 10% шерсть, 75% акрил, 5% металик , Длина нити: 100 гр. - 550 м., Вес упаковки: 500 гр.",780,visible,variable,ANGORA LUKS SIMLI,Цвет,Персик,
ПРЯЖА > NAKO,BABY TWEED JOYFUL NEW Rozovyj/sinij/korichnevyj,https://2676270.ru/upload/iblock/8aa/baby-tweed-joyful-new-0-5-kg-81488.jpg,"Состав: 100% акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED JOYFUL NEW Rozovyj/sinij/korichnevyj,Цвет,Розовый/синий/коричневый,BABY TWEED JOYFUL NEW
ПРЯЖА > NAKO,BABY TWEED JOYFUL NEW,https://2676270.ru/upload/resize_cache/iblock/a43/230_189_1/a8eb28e6a917e.jpg,"Состав: 100% акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variable,BABY TWEED JOYFUL NEW,Цвет,Розовый/синий/коричневый,
ПРЯЖА > NAKO,BABY TWEED NEW Oranzhevyj/zelenyj/krasnyj,https://2676270.ru/upload/iblock/f7f/nako_baby_tweed_new_31501-600x600_0.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Oranzhevyj/zelenyj/krasnyj,Цвет,Оранжевый/зеленый/красный,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW Sliva/zelenyj/zheltyj,https://2676270.ru/upload/iblock/c78/nako_baby_tweed_new_31503-600x600_0.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Sliva/zelenyj/zheltyj,Цвет,Слива/зеленый/желтый,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW Birjuzovyj/sirenevyj/fioletovyj,https://2676270.ru/upload/iblock/dc2/nako_baby_tweed_new_31504-600x600_0.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Birjuzovyj/sirenevyj/fioletovyj,Цвет,Бирюзовый/сиреневый/фиолетовый,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW Zelenyj/oranzhevyj/krasnyj,https://2676270.ru/upload/iblock/fe4/nako_baby_tweed_new_31509-600x600_0.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Zelenyj/oranzhevyj/krasnyj,Цвет,Зеленый/оранжевый/красный,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW Belyj/goluboj/oranzhevyj,https://2676270.ru/upload/iblock/9d0/1478002840_k.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Belyj/goluboj/oranzhevyj,Цвет,Белый/голубой/оранжевый,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW Bezhevyj/goluboj/korichnevyj,https://2676270.ru/upload/iblock/404/1478002988_k.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variation,BABY TWEED NEW Bezhevyj/goluboj/korichnevyj,Цвет,Бежевый/голубой/коричневый,BABY TWEED NEW
ПРЯЖА > NAKO,BABY TWEED NEW,https://2676270.ru/upload/resize_cache/iblock/c08/230_189_1/1478002840.jpg,"Состав: 100% премиум акрил, Длина нити: 100 гр. - 230 м., Вес упаковки: 500 гр.",660,visible,variable,BABY TWEED NEW,Цвет,"Оранжевый/зеленый/красный, Слива/зеленый/желтый, Бирюзовый/сиреневый/фиолетовый, Зеленый/оранжевый/красный, Белый/голубой/оранжевый, Бежевый/голубой/коричневый",
ПРЯЖА > NAKO,BAMBINO MARVEL Chernyj,https://2676270.ru/upload/iblock/502/400 (4).jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",345,visible,variation,BAMBINO MARVEL Chernyj,Цвет,Черный,BAMBINO MARVEL
ПРЯЖА > NAKO,BAMBINO MARVEL Goroh,https://2676270.ru/upload/iblock/8df/57f121b6b011d.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",345,visible,variation,BAMBINO MARVEL Goroh,Цвет,Горох,BAMBINO MARVEL
ПРЯЖА > NAKO,BAMBINO MARVEL,https://2676270.ru/upload/resize_cache/iblock/0c6/230_189_1/442348672_w200_h200_cid2026793_pid41821709-b2239aaf.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",345,visible,variable,BAMBINO MARVEL,Цвет,"Черный, Горох",
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT Belyj/oranzhevyj/goluboj,https://2676270.ru/upload/iblock/cb8/1444049817_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variation,BAMBINO MARVEL PETIT Belyj/oranzhevyj/goluboj,Цвет,Белый/оранжевый/голубой,BAMBINO MARVEL PETIT
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT Belyj/rozovyj,https://2676270.ru/upload/iblock/b28/1444048822_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variation,BAMBINO MARVEL PETIT Belyj/rozovyj,Цвет,Белый/розовый,BAMBINO MARVEL PETIT
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT Zheltyj/belyj/rozovyj,https://2676270.ru/upload/iblock/083/1444048784_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variation,BAMBINO MARVEL PETIT Zheltyj/belyj/rozovyj,Цвет,Желтый/белый/розовый,BAMBINO MARVEL PETIT
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT Rozovyj/belyj/bezhevyj,https://2676270.ru/upload/iblock/f08/1444049012_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variation,BAMBINO MARVEL PETIT Rozovyj/belyj/bezhevyj,Цвет,Розовый/белый/бежевый,BAMBINO MARVEL PETIT
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT Bezhevyj/zheltyj,https://2676270.ru/upload/iblock/b55/1444048243_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variation,BAMBINO MARVEL PETIT Bezhevyj/zheltyj,Цвет,Бежевый/желтый,BAMBINO MARVEL PETIT
ПРЯЖА > NAKO,BAMBINO MARVEL PETIT,https://2676270.ru/upload/resize_cache/iblock/801/230_189_1/56b93ef0711e5dde95f3a78474029ffa.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 50 гр. - 130 м., Вес упаковки: 250 гр.",420,visible,variable,BAMBINO MARVEL PETIT,Цвет,"Белый/оранжевый/голубой, Белый/розовый, Желтый/белый/розовый, Розовый/белый/бежевый, Бежевый/желтый",
ПРЯЖА > NAKO,BOUTIQUE Chernyj,https://2676270.ru/upload/iblock/26a/20190307_090603-001.jpg,"Состав: 100% шерсть, Длина нити: 100 гр. - 158 м., Вес упаковки: 500 гр.",1350,visible,variation,BOUTIQUE Chernyj,Цвет,Черный,BOUTIQUE
ПРЯЖА > NAKO,BOUTIQUE Шоколад,https://2676270.ru/upload/iblock/071/20190307_091038-001.jpg,"Состав: 100% шерсть, Длина нити: 100 гр. - 158 м., Вес упаковки: 500 гр.",1350,visible,variation,BOUTIQUE Шоколад,Цвет,Шоколад,BOUTIQUE
ПРЯЖА > NAKO,BOUTIQUE,https://2676270.ru/upload/resize_cache/iblock/f54/230_189_1/20190307_090603.jpg,"Состав: 100% шерсть, Длина нити: 100 гр. - 158 м., Вес упаковки: 500 гр.",1350,visible,variable,BOUTIQUE,Цвет,"Черный, Шоколад",
ПРЯЖА > NAKO,JERSEY Chernyj,https://2676270.ru/upload/iblock/14c/1952.jpg,"Состав: 30% шерсть, 70% акрил, Длина нити: 100 гр. - 74 м., Вес упаковки: 500 гр.",720,visible,variation,JERSEY Chernyj,Цвет,Черный,JERSEY
ПРЯЖА > NAKO,JERSEY Krasnyj kofe,https://2676270.ru/upload/iblock/cbb/1955.jpg,"Состав: 30% шерсть, 70% акрил, Длина нити: 100 гр. - 74 м., Вес упаковки: 500 гр.",720,visible,variation,JERSEY Krasnyj kofe,Цвет,Красный кофе,JERSEY
ПРЯЖА > NAKO,JERSEY,https://2676270.ru/upload/resize_cache/iblock/fb9/230_189_1/2dcd5cf69ad49e89ea10170cae3ba7c0-001.jpg,"Состав: 30% шерсть, 70% акрил, Длина нити: 100 гр. - 74 м., Вес упаковки: 500 гр.",720,visible,variable,JERSEY,Цвет,"Черный, Красный кофе",
ПРЯЖА > NAKO,LAME FINE Василек,https://2676270.ru/upload/iblock/6b3/1444032763_k.jpg,"Состав: 96% премиум акрил; 4% металлическая нить, Длина нити: 100 гр. - 440 м., Вес упаковки: 500 гр.",750,visible,variation,LAME FINE Василек,Цвет,Василек,LAME FINE
ПРЯЖА > NAKO,LAME FINE,https://2676270.ru/upload/resize_cache/iblock/3a4/230_189_1/1444032763.jpg,"Состав: 96% премиум акрил; 4% металлическая нить, Длина нити: 100 гр. - 440 м., Вес упаковки: 500 гр.",750,visible,variable,LAME FINE,Цвет,Василек,
ПРЯЖА > NAKO,OMBRE Seryj,https://2676270.ru/upload/iblock/092/20300.jpg,"Состав: 25% шерсть,75% премиум акрил,, Длина нити: 100 гр. - 190 м., Вес упаковки: 500 гр.",915,visible,variation,OMBRE Seryj,Цвет,Серый,OMBRE
ПРЯЖА > NAKO,OMBRE Zheltyj/chernyj,https://2676270.ru/upload/iblock/6a5/20315.jpg,"Состав: 25% шерсть,75% премиум акрил,, Длина нити: 100 гр. - 190 м., Вес упаковки: 500 гр.",915,visible,variation,OMBRE Zheltyj/chernyj,Цвет,Желтый/черный,OMBRE
ПРЯЖА > NAKO,OMBRE Rozovyj,https://2676270.ru/upload/iblock/eed/20335.jpg,"Состав: 25% шерсть,75% премиум акрил,, Длина нити: 100 гр. - 190 м., Вес упаковки: 500 гр.",915,visible,variation,OMBRE Rozovyj,Цвет,Розовый,OMBRE
ПРЯЖА > NAKO,OMBRE Bezhevyj/seryj,https://2676270.ru/upload/iblock/62f/Без названия (4)-001.jpg,"Состав: 25% шерсть,75% премиум акрил,, Длина нити: 100 гр. - 190 м., Вес упаковки: 500 гр.",915,visible,variation,OMBRE Bezhevyj/seryj,Цвет,Бежевый/серый,OMBRE
ПРЯЖА > NAKO,OMBRE,https://2676270.ru/upload/resize_cache/iblock/3e2/230_189_1/Pryazha_Nako_Ombre_20313_Ombre_b14603.jpg,"Состав: 25% шерсть,75% премиум акрил,, Длина нити: 100 гр. - 190 м., Вес упаковки: 500 гр.",915,visible,variable,OMBRE,Цвет,"Серый, Желтый/черный, Розовый, Бежевый/серый",
ПРЯЖА > NAKO,"Spaghetti, NAKO Belyj/chernyj",https://2676270.ru/upload/iblock/e10/Без названия (3)-001.jpg,"Состав: 25% шерсть, 75% Акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",765,visible,variation,"Spaghetti, NAKO Belyj/chernyj",Цвет,Белый/черный,"Spaghetti, NAKO"
ПРЯЖА > NAKO,"Spaghetti, NAKO Горький шоколад",https://2676270.ru/upload/iblock/212/1444128853_k.jpg,"Состав: 25% шерсть, 75% Акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",765,visible,variation,"Spaghetti, NAKO Горький шоколад",Цвет,Горький шоколад,"Spaghetti, NAKO"
ПРЯЖА > NAKO,"Spaghetti, NAKO",https://2676270.ru/upload/resize_cache/iblock/9fc/230_189_1/1477922391.jpg,"Состав: 25% шерсть, 75% Акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",765,visible,variable,"Spaghetti, NAKO",Цвет,"Белый/черный, Горький шоколад",
ПРЯЖА > NAKO,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Korichnevyj",https://2676270.ru/upload/iblock/757/1477923146_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",840,visible,variation,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Korichnevyj",Цвет,Коричневый,"Нако Спагетти Эффект (Spaghetti Effect, NAKO)"
ПРЯЖА > NAKO,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Bezhevyj",https://2676270.ru/upload/iblock/dfe/1443272881_k.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",840,visible,variation,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Bezhevyj",Цвет,Бежевый,"Нако Спагетти Эффект (Spaghetti Effect, NAKO)"
ПРЯЖА > NAKO,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Rozovyj melanzh",https://2676270.ru/upload/iblock/927/large_7822.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",840,visible,variation,"Нако Спагетти Эффект (Spaghetti Effect, NAKO) Rozovyj melanzh",Цвет,Розовый меланж,"Нако Спагетти Эффект (Spaghetti Effect, NAKO)"
ПРЯЖА > NAKO,"Нако Спагетти Эффект (Spaghetti Effect, NAKO)",https://2676270.ru/upload/resize_cache/iblock/e67/230_189_1/1443274215.jpg,"Состав: 25% шерсть, 75% акрил, Длина нити: 100 гр. - 60 м., Вес упаковки: 500 гр.",840,visible,variable,"Нако Спагетти Эффект (Spaghetti Effect, NAKO)",Цвет,"Коричневый, Бежевый, Розовый меланж",
ПРЯЖА > NAKO,SUPER INCI HIT JAKAR Korichnevyj/rjabina/belyj,https://2676270.ru/upload/iblock/abc/1444737806_k.jpg,"Состав: 25% шерсть, 75% премиум акрил, Длина нити: 100 гр. - 180 м., Вес упаковки: 500 гр.",795,visible,variation,SUPER INCI HIT JAKAR Korichnevyj/rjabina/belyj,Цвет,Коричневый/рябина/белый,SUPER INCI HIT JAKAR
