Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > Kartopu,Ana kuzusu oranzhevyj,https://2676270.ru/upload/iblock/e33/ыы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu oranzhevyj,Цвет,оранжевый,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu persik,https://2676270.ru/upload/iblock/3ec/2oC_KbHohFYы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu persik,Цвет,персик,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu Zheltyj,https://2676270.ru/upload/iblock/be3/gJXwn-msAroф.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu Zheltyj,Цвет,Желтый,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu sv.zheltyj,https://2676270.ru/upload/iblock/564/anTN0KMvYLgыыыы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu sv.zheltyj,Цвет,св.желтый,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu sv.rozovyj,https://2676270.ru/upload/iblock/a6d/tPAKGmeBVTUы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu sv.rozovyj,Цвет,св.розовый,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu suhaja roza,https://2676270.ru/upload/iblock/cf5/Ja_zeJ-1s-Eч.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu suhaja roza,Цвет,сухая роза,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu abrikos,https://2676270.ru/upload/iblock/02b/0mN88Q7TY2Aыц.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu abrikos,Цвет,абрикос,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu jarko rozovyj,https://2676270.ru/upload/iblock/22d/xiua1qxPCDsы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu jarko rozovyj,Цвет,ярко розовый,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu korall,https://2676270.ru/upload/iblock/699/7pQ6I5YBH80ы.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu korall,Цвет,коралл,Ana kuzusu
ПРЯЖА > Kartopu,Ana kuzusu surovyj,https://2676270.ru/upload/iblock/5d6/An2gg9CeqY8 (1)цй.jpg,"Состав: 100%микрополиэстер, Длина нити: 100гр.-110мт., Вес упаковки: 500гр.",915,visible,variation,Ana kuzusu surovyj,Цвет,суровый,Ana kuzusu
