Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Belyj,https://2676270.ru/upload/iblock/76e/972BF79B-DBC4-4F42-B8D0-079E13F32F42.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Belyj,Цвет,Белый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Svetlo-seryj,https://2676270.ru/upload/iblock/c49/1F238C1F-890C-46A2-ABE5-155EEF4F69BE.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Svetlo-seryj,Цвет,Светло-серый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Temnyj bezh,https://2676270.ru/upload/iblock/24c/HTB1oL3xPFzqK1RjSZFoq6zfcXXaI.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Temnyj bezh,Цвет,Темный беж,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Bezhevyj,https://2676270.ru/upload/iblock/0c4/B449DF64-C32F-48B1-AE9A-DB0AF1D5DE16.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Bezhevyj,Цвет,Бежевый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Persik,https://2676270.ru/upload/iblock/8a0/HTB121ZnPMTqK1RjSZPhq6xfOFXaj.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Persik,Цвет,Персик,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Сирень,https://2676270.ru/upload/iblock/586/HTB1PufYPSzqK1RjSZPcq6zTepXa5.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Сирень,Цвет,Сирень,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Goluboj,https://2676270.ru/upload/iblock/79b/HTB1zNAzPMHqK1RjSZFEq6AGMXXap.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Goluboj,Цвет,Голубой,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Jarko-sirenevyj,https://2676270.ru/upload/iblock/dac/HTB1_RAvPMHqK1RjSZFgq6y7JXXab.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Jarko-sirenevyj,Цвет,Ярко-сиреневый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Rozovyj,https://2676270.ru/upload/iblock/92a/E20862E6-7F7F-454F-AF9C-1C6C0425576E.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Rozovyj,Цвет,Розовый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Мальва,https://2676270.ru/upload/iblock/e40/47C95E8B-0262-4491-B76E-4127B5C583C5.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Мальва,Цвет,Мальва,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Malinovyj,https://2676270.ru/upload/iblock/22f/6E4D67B0-BB18-4FF6-A644-286597016B53.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Malinovyj,Цвет,Малиновый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Krasnyj,https://2676270.ru/upload/iblock/d58/IMG_6889-11-04-19-02-53.png,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Krasnyj,Цвет,Красный,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Temno-krasnyj,https://2676270.ru/upload/iblock/ce5/F8A90A36-EA94-45CD-98F7-16A64D19EA7E.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Temno-krasnyj,Цвет,Темно-красный,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Zheltyj,https://2676270.ru/upload/iblock/626/122C5AE6-673D-464D-BA07-CF965C79034F.jpeg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Zheltyj,Цвет,Желтый,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
ПРЯЖА > НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА),НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Салат,https://2676270.ru/upload/iblock/f45/JM3EhQM9Mh0.jpg,"Состав: Пух норки-90% Полиамид-10%, Длина нити: 50 гр. - 350 м., Вес упаковки: 250 гр.",2250,visible,variation,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА) Салат,Цвет,Салат,НОРКА ДЛИННОВОРСОВАЯ (НОВИНКА)
